Date,Name,Direction,Tonnage,Type
1859-05-13,Constitution,Inbound,533.00,Steamer
1859-05-13,Reporter,Inbound,50.00,Schooner
1859-05-15,D. L. Clinch,Inbound,166.00,Schooner
1859-05-16,Leonede,Inbound,14.00,Sloop
1859-05-16,Nevada,Inbound,35.00,Schooner
1859-05-16,W. D. Rice,Inbound,238.00,Schooner
1859-05-17,J. C. Caswell,Inbound,5.00,Schooner
1859-05-17,Colonist,Inbound,118.00,Schooner
1859-05-20,Constitution,Inbound,533.00,Steamer
1859-05-11,R. B. Potter,Inbound,61.00,Schooner
1859-05-19,J. C. Caswell,Inbound,5.00,Schooner
1859-05-20,Matilda Heron,Inbound,49.00,Schooner
1859-05-21,J. C. Caswell,Inbound,5.00,Schooner
1859-05-13,Elizabeth,Inbound,16.00,Schooner
1859-05-25,Eclipse,Inbound,109.00,Schooner
1859-05-24,Northerner,Inbound,"1,096.00",Steamer
1859-05-26,Leonede,Inbound,14.00,Sloop
1859-05-25,Colonel Ebey,Inbound,18.00,Sloop
1859-05-25,Amelia,Inbound,16.00,Sloop
1859-05-25,Caroline,Inbound,32.00,Schooner
1859-05-25,Jessie,Inbound,5.00,Sloop
1859-05-28,Ranger No. 2,Inbound,307.00,Steamer
1859-05-28,Harriet,Inbound,15.00,Schooner
1859-05-28,Wilson G. Hunt,Inbound,342.00,Steamer
1859-05-30,C. S. Kidder,Inbound,9.00,Schooner
1859-05-31,Wild Duck,Inbound,5.00,Schooner
1859-05-31,Mary F. Slade,Inbound,199.44,Bark
1859-05-31,Georges,Inbound,791.54,Ship
1859-06-01,J. C. Caswell,Inbound,5.00,Schooner
1859-06-03,Constitution,Inbound,533.00,Steamer
1859-06-03,Flying Mist,Inbound,103.00,Schooner
1859-06-02,Caroline,Inbound,32.00,Schooner
1859-06-03,Colonist,Inbound,118.00,Schooner
1859-06-03,Leonede,Inbound,14.00,Sloop
1859-06-03,J. C. Caswell,Inbound,5.00,
1859-06-04,Matilda Heron,Inbound,49.00,Schooner
1859-06-04,Janett,Inbound,15.00,Schooner
1859-06-05,Wilson G. Hunt,Inbound,342.00,Steamer
1859-06-06,Ocean Wave,Inbound,6.00,Schooner
1859-06-06,Wild Pigeon,Inbound,18.00,Schooner
1859-06-05,Jessie,Inbound,5.00,Schooner
1859-06-07,Harriet,Inbound,15.00,Schooner
1859-06-07,Ida,Inbound,232.00,Ship
1859-06-07,Amelia,Inbound,10.00,Schooner
1859-06-08,Franklin Sherman,Inbound,17.00,Sloop
1859-06-08,Kossuth,Inbound,50.00,Schooner
1859-06-09,H. C. Page,Inbound,42.00,Schooner
1859-06-09,Caroline,Inbound,32.00,Schooner
1859-06-09,Wilson G. Hunt,Inbound,342.00,Steamer
1859-06-09,White Squall,Inbound,8.00,Sloop
1859-06-11,J. C. Caswell,Inbound,5.00,Schooner
1859-06-11,Get Up and Get,Inbound,5.00,Schooner
1859-06-14,Joseph Hewitt,Inbound,12.00,Sloop
1859-06-14,Ranger No. 2,Inbound,49.00,Steamer
1859-06-14,Jessie,Inbound,5.00,Schooner
1859-06-14,Wilson G. Hunt,Inbound,342.00,Steamer
1859-06-14,Arcadia,Inbound,332.00,Bark
1859-06-10,Reporter,Inbound,50.00,Schooner
1859-06-15,Simon F. Blunt,Inbound,84.00,Schooner
1859-06-15,Amelia,Inbound,10.00,Schooner
1859-06-15,Caroline,Inbound,32.00,Schooner
1859-06-18,Leonede,Inbound,14.00,Sloop
1859-06-18,C. S. Kidder,Inbound,9.00,Schooner
1859-06-18,J. C. Caswell,Inbound,5.00,Schooner
1859-06-20,Speck,Inbound,5.00,Schooner
1859-06-20,Wild Pigeon,Inbound,18.00,Schooner
1859-06-20,Kossuth,Inbound,50.00,Schooner
1859-06-20,Jessie,Inbound,5.00,Schooner
1859-06-20,Joseph Hewitt,Inbound,5.78,Schooner
1859-06-20,Matilda Heron,Inbound,49.00,Schooner
1859-06-20,Crest of the Wave,Inbound,582.00,Ship
1859-06-20,Ocean Wave,Inbound,6.00,Sloop
1859-06-21,Harriet,Inbound,16.00,Schooner
1859-06-21,H. C. Page,Inbound,42.00,Schooner
1859-06-22,Caroline,Inbound,34.00,Schooner
1859-06-23,Wilson G. Hunt,Inbound,342.00,Steamer
1859-06-23,Maria,Inbound,36.00,Schooner
1859-06-24,Eliza Anderson,Inbound,218.00,Steamer
1859-06-24,Koloa,Inbound,174.00,Brig
1859-06-25,Panama,Inbound,"1,032.00",Steamer
1859-06-27,Harriet,Inbound,16.00,Schooner
1859-06-25,Jessie,Inbound,5.00,Schooner
1859-06-27,Elizabeth,Inbound,16.00,Schooner
1859-06-28,Speck,Inbound,5.00,Schooner
1859-06-28,J. C. Caswell,Inbound,5.00,Schooner
1859-06-26,Eclipse,Inbound,16.00,Schooner
1859-06-29,Caroline,Inbound,34.00,Schooner
1859-06-29,Joseph Hewitt,Inbound,5.78,Sloop
1859-06-29,Kossuth,Inbound,50.00,Schooner
1859-06-29,Wilson G. Hunt,Inbound,342.00,Steamer
1859-06-30,Beaver,Inbound,219.00,Steamer
1859-06-30,Wild Pigeon,Inbound,18.00,Schooner
1859-06-30,Ocean Wave,Inbound,6.00,Schooner
1859-06-30,Jessie,Inbound,5.00,Schooner
1859-06-30,Selton/Tilton/Sreton/Triton,Inbound,618.00,Ship
1859-07-01,Calsai/Caesar,Inbound,400.00,Bark
1859-07-02,Eliza Anderson,Inbound,218.00,Steamer
1859-07-02,Amelia,Inbound,16.00,Schooner
1859-07-02,Julia,Inbound,194.00,Steamer
1859-07-04,Wilson G. Hunt,Inbound,342.00,Steamer
1859-07-05,J. C. Caswell,Inbound,5.00,Schooner
1859-07-06,Eliza and Ella,Inbound,800.00,Ship
1859-07-07,Eclipse,Inbound,16.00,Schooner
1859-07-07,Midnight,Inbound,819.00,Ship
1859-07-07,Jessie,Inbound,5.00,Schooner
1859-07-07,Wilson G. Hunt,Inbound,342.00,Steamer
1859-07-07,Caroline,Inbound,34.00,Schooner
1859-07-09,Eliza Anderson,Inbound,218.00,Steamer
1859-07-09,Midnight Cry,Inbound,6.00,Sloop
1859-07-09,Star of South,Inbound,5.00,Sloop
1859-07-09,J. C. Caswell,Inbound,5.00,Sloop
1859-07-12,C. S. Kidder,Inbound,9.00,Schooner
1859-07-10,Northerner,Inbound,"1,096.00",Steamer
1859-07-12,Leonesa,Inbound,230.00,Bark
1859-07-13,Julia,Inbound,194.00,Steamer
1859-07-09,H. C. Page,Inbound,42.00,Schooner
1859-07-09,Rob Roy,Inbound,44.00,Schooner
1859-07-11,Speck,Inbound,5.00,Schooner
1859-07-13,Joseph Hewitt,Inbound,6.00,Sloop
1859-07-13,Get Up and Get,Inbound,5.00,
1859-07-13,Franklin Sherman,Inbound,17.00,Sloop
1859-07-13,Harriet,Inbound,16.00,Schooner
1859-07-13,Leonesa,Inbound,230.00,Bark
1859-07-14,Surprise,Inbound,35.00,Schooner
1859-07-14,Rob Roy,Inbound,44.00,Schooner
1859-07-14,Simon F. Blunt,Inbound,84.00,Schooner
1859-07-14,Caroline,Inbound,32.00,Schooner
1859-07-16,Ocean Wave,Inbound,6.00,Schooner
1859-07-16,Wild Pigeon,Inbound,18.00,Schooner
1859-07-17,Amelia,Inbound,16.00,Schooner
1859-07-18,Franklin Sherman,Inbound,17.00,Sloop
1859-07-18,General Harney,Inbound,73.00,Schooner
1859-07-18,Tornado,Inbound,166.00,Schooner
1859-07-20,Eclipse,Inbound,5.00,Schooner
1859-07-20,Harriet,Inbound,16.00,Schooner
1859-07-20,Julia,Inbound,250.00,Steamer
1859-07-20,May Flower,Inbound,343.00,Bark
1859-07-22,H. C. Page,Inbound,42.00,
1859-07-22,Carrie Leland,Inbound,316.00,Bark
1859-07-23,Glympse,Inbound,375.00,Bark
1859-07-24,Lizzie Jarvis ,Inbound,18.00,
1859-07-24,Ork,Inbound,230.00,Bark
1859-07-25,Northerner,Inbound,"1,093.00",Steamer
1859-07-27,Henry Ford,Inbound,350.00,Bark
1859-07-27,Beaver,Inbound,195.00,Steamer
1859-07-29,Joseph Hewitt,Inbound,5.00,
1859-07-30,Ocean Wave,Inbound,18.00,Sloop
1859-08-03,J. C. Caswell,Inbound,5.00,Sloop
1859-08-03,Enterprise,Inbound,17.00,Schooner
1859-08-03,Colonist,Inbound,118.00,Schooner
1859-08-03,Caroline,Inbound,32.00,Schooner
1859-08-03,Ocean Wave,Inbound,5.00,Sloop
1859-08-04,Julia,Inbound,250.00,Steamer
1859-08-04,Harriet,Inbound,18.00,Schooner
1859-08-04,Jessie,Inbound,5.00,Schooner
1859-08-04,Julia,Inbound,250.00,Steamer
1859-08-04,H. C. Page,Inbound,42.00,Steamer
1859-08-04,Leonede,Inbound,14.00,Sloop
1859-08-07,D. M. Hall,Inbound,263.00,Bark
1859-08-07,J. C. Caswell,Inbound,5.00,
1859-08-07,Nevada,Inbound,35.00,Schooner
1859-08-08,Hudener VII,Inbound,375.00,
1859-08-08,Arab,Inbound,498.00,Sloop
1859-08-09,Amelia,Inbound,16.00,Schooner
1859-08-10,Speck,Inbound,5.00,Schooner
1859-08-10,J. C. Caswell,Inbound,5.00,Sloop
1859-08-09,Harriet,Inbound,16.00,Schooner
1859-08-09,Eclipse,Inbound,16.00,Schooner
1859-08-10,Julia,Inbound,250.00,Steamer
1859-08-12,Amelia,Inbound,16.00,Schooner
1859-08-13,Julia,Inbound,250.00,Steamer
1859-08-13,C. S. Kidder,Inbound,9.00,Schooner
1859-08-13,Carnalie,Inbound,632.00,Ship
1859-08-15,Nevada,Inbound,35.00,Schooner
1859-08-16,Gold Hunter,Inbound,280.44,Bark
1859-08-17,W. D. Rice,Inbound,238.00,Brig
1859-08-17,Wild Pigeon,Inbound,18.00,Schooner
1859-08-17,Eliza Anderson,Inbound,218.00,Steamer
1859-08-18,Caroline,Inbound,32.00,Schooner
1859-08-19,D. M. Hall,Inbound,263.00,Bark
1859-08-19,Jessie,Inbound,5.00,Schooner
1859-08-21,Northerner,Inbound,"1,096.00",Steamer
1859-08-22,Colonist,Inbound,18.00,Schooner
1859-08-27,Get Up and Get,Inbound,40.00,Sloop
1859-08-27,Colonel Ebey,Inbound,18.00,Schooner
1859-08-25,Wild Pigeon,Inbound,18.00,Schooner
1859-08-25,Ship Georges,Inbound,357.00,Schooner
1859-08-25,Amelia,Inbound,16.00,Schooner
1859-08-25,Julia,Inbound,250.00,Steamer
1859-08-26,Ranger No. 2,Inbound,49.00,Steamer
1859-08-26,Harriet,Inbound,18.00,Schooner
1859-08-26,Rover,Inbound,4.00,Schooner
1859-08-26,Alice Thorndike,Inbound,842.00,Ship
1859-08-27,Speck,Inbound,5.00,Schooner
1859-09-01,Wild Pigeon,Inbound,18.00,Schooner
1859-09-01,J. C. Caswell,Inbound,5.00,Sloop
1859-09-01,Leonede,Inbound,14.00,Sloop
1859-09-01,Julia,Inbound,194.00,Steamer
1859-09-01,Amelia,Inbound,16.00,Schooner
1859-09-01,Leonidas,Inbound,694.11,Ship
1859-09-02,King Phillip,Inbound,"1,126.24",Ship
1859-09-02,Caroline,Inbound,32.00,Schooner
1859-09-03,H. C. Page,Inbound,42.00,Schooner
1859-09-03,J. C. Caswell,Inbound,5.00,Schooner
1859-09-04,Black Hawk,Inbound,5.00,Schooner
1859-09-04,Kossuth,Inbound,47.00,Schooner
1859-09-05,Norwood,Inbound,849.00,Ship
1859-09-07,May Flower,Inbound,516.00,Ship
1859-09-08,Amelia,Inbound,16.00,Schooner
1859-09-08,Eclipse,Inbound,10.00,Schooner
1859-09-08,Julia,Inbound,194.00,Steamer
1859-09-09,Northerner,Inbound,"1,096.00",Steamer
1859-09-09,J. C. Caswell,Inbound,5.00,Sloop
1859-09-09,Harriet,Inbound,15.00,Schooner
1859-09-09,Leonede,Inbound,14.00,Sloop
1859-09-12,J. C. Caswell,Inbound,5.00,Sloop
1859-09-13,Kossuth,Inbound,47.00,Schooner
1859-09-13,Black Diamond,Inbound,5.00,Schooner
1859-09-16,Amelia,Inbound,16.00,Schooner
1859-09-16,Elizabeth,Inbound,16.00,Schooner
1859-09-16,Speck,Inbound,5.00,Schooner
1859-09-16,Julia,Inbound,194.00,Steamer
1859-09-19,Sea Nymph,Inbound,516.00,Bark
1859-09-19,Wild Pigeon,Inbound,18.00,Schooner
1859-09-19,Amad Laurence,Inbound,"1,396.00",Ship
1859-09-19,Harriet,Inbound,15.00,Schooner
1859-09-21,Caroline,Inbound,15.00,Schooner
1859-09-21,Ork,Inbound,240.00,Bark
1859-09-22,Kossuth,Inbound,47.00,Schooner
1859-09-22,Amelia,Inbound,16.00,Schooner
1859-09-22,Tornado,Inbound,116.46,Schooner
1859-09-22,Julia,Inbound,194.00,Steamer
1859-09-23,J. C. Caswell,Inbound,5.00,Ship
1859-09-23,(Not legible),Inbound,475.00,Bark
1859-09-24,D. M. Hall,Inbound,263.00,Bark
1859-09-24,Flying Mist,Inbound,103.00,Schooner
1859-09-26,Colonist,Inbound,118.00,Schooner
1859-09-26,Northerner,Inbound,"1,012.00",Steamer
1859-09-26,W. S. Perkins,Inbound,309.00,Bark
1859-09-26,Eclipse,Inbound,10.00,Schooner
1859-09-26,J. C. Caswell,Inbound,5.00,Sloop
1859-09-27,H. C. Page,Inbound,42.00,Schooner
1859-09-28,Leonesa,Inbound,230.00,Bark
1859-09-28,Amelia,Inbound,16.00,Schooner
1859-09-28,Colonist,Inbound,3.00,Schooner
1859-09-29,C. S. Kidder,Inbound,9.00,Schooner
1859-09-30,Hartford,Inbound,214.09,Bark
1859-10-01,Julia,Inbound,194.00,Steamer
1859-10-01,Hartford,Inbound,214.09,Bark
1859-10-01,Wild Irish Girl,Inbound,5.00,Sloop
1859-10-02,Tornado,Inbound,166.00,Schooner
1859-10-03,Jennet,Inbound,247.00,Bark
1859-10-03,H. C. Page,Inbound,42.00,Schooner
1859-10-03,Black Diamond,Inbound,5.00,Schooner
1859-10-03,Speck,Inbound,5.00,Schooner
1859-10-03,J. C. Caswell,Inbound,5.00,Sloop
1859-10-03,Harriet,Inbound,14.00,Schooner
1859-10-04,Beaver,Inbound,109.00,Steamer
1859-10-04,Princess Royal,Inbound,"1,200.00",Ship
1859-10-05,Colonel Ebey,Inbound,18.00,Schooner
1859-10-05,Leonede,Inbound,14.00,Sloop
1859-10-06,Julia,Inbound,194.00,Steamer
1859-10-06,Kossuth,Inbound,47.00,Schooner
1859-10-06,Wild Pigeon,Inbound,18.00,Schooner
1859-10-06,Kossuth,Inbound,47.00,Schooner
1859-10-06,Elizabeth,Inbound,16.00,Schooner
1859-10-07,J. C. Caswell,Inbound,5.00,Sloop
1859-10-07,Leonesa,Inbound,230.00,Bark
1859-10-10,Glympse,Inbound,487.00,Bark
1859-10-10,J. C. Caswell,Inbound,5.00,Sloop
1859-10-10,Get Up and Get,Inbound,5.00,Sloop
1859-10-10,Speck,Inbound,5.00,Schooner
1859-10-10,Panama,Inbound,"1,087.00",Steamer
1859-10-11,J. C. Caswell,Inbound,5.00,Sloop
1859-10-12,Jenny Ford,Inbound,397.00,Bark
1859-10-12,J. C. Caswell,Inbound,5.00,Sloop
1859-10-13,Wild Duck,Inbound,5.00,Schooner
1859-10-13,W. B. Scranton,Inbound,422.00,Barkentine
1859-10-13,Wild Duck,Inbound,5.00,Schooner
1859-10-13,Julia,Inbound,194.00,Steamer
1859-10-13,H. C. Page,Inbound,42.00,Schooner
1859-10-14,Leonede,Inbound,14.00,Sloop
1859-10-14,J. C. Caswell,Inbound,5.00,Sloop
1859-10-15,Satellite,Inbound,824.00,Ship
1859-10-15,R. B. Potter,Inbound,66.00,Schooner
1859-10-16,Kossuth,Inbound,47.00,Schooner
1859-10-17,Harriet,Inbound,15.00,Schooner
1859-10-17,J. C. Caswell,Inbound,5.00,Sloop
1859-10-19,Fanny Major,Inbound,226.00,Bark
1859-10-19,Colonist,Inbound,118.00,Schooner
1859-10-20,Julia,Inbound,194.00,Steamer
1859-10-22,Speck,Inbound,5.00,Schooner
1859-10-23,Elizabeth,Inbound,16.00,Schooner
1859-10-23,J. C. Caswell,Inbound,5.00,Sloop
1859-10-24,Leonede,Inbound,14.00,Sloop
1859-10-25,Flying Mist,Inbound,103.00,Schooner
1859-10-25,Reporter,Inbound,50.00,Schooner
1859-10-25,Northerner,Inbound,"1,012.00",Steamer
1859-10-25,Caroline,Inbound,32.00,Schooner
1859-10-27,H. C. Page,Inbound,42.00,Schooner
1859-10-27,J. C. Caswell,Inbound,5.00,Sloop
1859-10-27,Julia,Inbound,194.00,Steamer
1859-10-28,Kossuth,Inbound,47.00,Schooner
1859-10-30,Julia,Inbound,194.00,Steamer
1859-11-01,Wilson G. Hunt,Inbound,311.00,Steamer
1859-11-01,Harriet,Inbound,15.00,Schooner
1859-11-01,Otter (crossed out),Inbound,144.00,Steamer
1859-11-01,Almatia,Inbound,473.00,Bark
1859-11-02,Leonede,Inbound,14.00,Sloop
1859-11-02,Amelia,Inbound,16.00,Schooner
1859-11-02,W. D. Rice,Inbound,188.00,Brig
1859-11-02,Lalla Rookh,Inbound,28.00,Schooner
1859-11-02,Caroline,Inbound,32.00,Schooner
1859-11-02,Reporter,Inbound,50.00,Schooner
1859-11-04,Midnight Cry,Inbound,5.00,Sloop
1859-11-05,H. C. Page,Inbound,44.00,Schooner
1859-11-06,Eliza Anderson,Inbound,279.00,Steamer
1859-11-06,Kossuth,Inbound,44.00,Schooner
1859-11-07,C. S. Kidder,Inbound,9.00,Schooner
1859-11-08,Speck,Inbound,5.00,Schooner
1859-11-08,J. C. Caswell,Inbound,5.00,Sloop
1859-11-09,Wilson G. Hunt,Inbound,311.00,Steamer
1859-11-09,Harriet,Inbound,15.00,Schooner
1859-11-11,Kossuth,Inbound,47.00,Schooner
1859-11-04,Wilson G. Hunt,Inbound,311.00,Steamer
1859-11-09,Lalla Rookh,Inbound,18.00,Schooner
1859-11-11,Flying Mist,Inbound,103.00,Schooner
1859-11-13,Kossuth,Inbound,47.00,Schooner
1859-11-14,Eliza Anderson,Inbound,279.00,Steamer
1859-11-15,H. C. Page,Inbound,42.00,Schooner
1859-11-16,J. C. Caswell,Inbound,5.00,Sloop
1859-11-18,L. P. Foster,Inbound,193.00,Schooner
1859-11-18,Ork,Inbound,243.00,Bark
1859-11-17,D. M. Hall,Inbound,263.00,Bark
1859-11-18,Wilson G. Hunt,Inbound,311.00,Steamer
1859-11-18,Surprise,Inbound,37.00,Schooner
1859-11-19,H. C. Page,Inbound,44.00,Schooner
1859-11-19,Leonede,Inbound,18.00,Sloop
1859-11-19,Amelia,Inbound,16.00,Schooner
1859-11-22,Georges,Inbound,791.00,Ship
1859-11-22,Franklin Sherman,Inbound,17.00,Sloop
1859-11-22,Manuella,Inbound,153.00,Bark
1859-11-23,Flying Mist,Inbound,103.00,Schooner
1859-11-23,Wilson G. Hunt,Inbound,311.00,
1859-11-23,Caroline,Inbound,32.00,Schooner
1859-11-26,Otter,Inbound,144.00,Steamer
1859-11-26,Gomelza,Inbound,521.00,Ship
1859-11-26,Amelia,Inbound,16.00,Schooner
1859-11-28,Get Up and Get,Inbound,5.00,Sloop
1859-11-28,Harriet,Inbound,16.00,Schooner
1859-11-28,Leonede,Inbound,14.00,Sloop
1859-11-27,H. C. Page,Inbound,42.00,Schooner
1859-11-29,Kossuth,Inbound,47.00,Schooner
1859-11-30,Reporter,Inbound,50.00,Schooner
1859-11-30,Wilson G. Hunt,Inbound,311.00,Steamer
1859-12-01,Flying Mist,Inbound,103.00,Schooner
1859-12-02,H. C. Page,Inbound,42.00,Schooner
1859-12-02,Pacific,Inbound,"1,003.00",Steamer
1859-12-03,J. C. Caswell,Inbound,5.00,Sloop
1859-12-05,Pronto,Inbound,6.00,Schooner
1859-12-09,Harriet,Inbound,15.00,Schooner
1859-12-09,J. C. Caswell,Inbound,5.00,Sloop
1859-12-10,Eliza Anderson,Inbound,279.00,Steamer
1859-12-10,Northerner,Inbound,"1,012.00",Steamer
1859-12-13,Wild Duck,Inbound,6.00,Schooner
1859-12-13,Amelia,Inbound,16.00,Schooner
1859-12-14,Elizabeth,Inbound,18.00,Schooner
1859-12-14,Kossuth,Inbound,47.00,Schooner
1859-12-14,Lalla Rookh,Inbound,18.00,Schooner
1859-12-15,Caroline,Inbound,22.00,Schooner
1859-12-15,H. C. Page,Inbound,42.00,Schooner
1859-12-17,Speck,Inbound,5.00,Schooner
1859-12-17,Eliza Anderson,Inbound,279.00,Steamer
1859-12-17,Flying Mist,Inbound,104.00,Schooner
1859-12-20,Royal Saxon,Inbound,510.00,Ship
1859-12-22,Lalla Rookh,Inbound,18.00,Schooner
1859-12-23,Columbia,Inbound,777.00,Steamer
1859-12-23,Lalla Rookh,Inbound,18.00,Schooner
1859-12-24,Eliza Anderson,Inbound,279.00,Steamer
1859-12-24,Amelia,Inbound,16.00,Schooner
1859-12-24,Harriet,Inbound,15.00,Schooner
1859-12-26,J. K. Thorndyke,Inbound,14.00,Schooner
1859-12-26,Wild Duck,Inbound,6.00,Schooner
1859-12-26,Leonede,Inbound,14.00,Sloop
1859-12-28,Reporter,Inbound,50.00,Schooner
1859-12-28,Jennet,Inbound,247.00,Bark
1859-12-28,J. C. Caswell,Inbound,5.00,Sloop
1859-12-28,Eliza Anderson,Inbound,279.00,Steamer
1860-01-02,Tornado,Inbound,166.00,Schooner
1860-01-02,W. B. Scranton,Inbound,423.00,Bark
1860-01-02,Louda/Luisa?,Inbound,6.00,Sloop
1860-01-02,J. C. Caswell,Inbound,6.00,Sloop
1860-01-02,Piscatagua,Inbound,14.00,Schooner
1860-01-03,J. K. Thorndyke,Inbound,16.00,Schooner
1860-01-03,J. C. Caswell,Inbound,6.00,Sloop
1860-01-03,Nahumkeag,Inbound,210.00,Bark
1860-01-05,Midnight Cry,Inbound,5.00,Sloop
1860-01-06,Leonesa,Inbound,230.00,Bark
1860-01-06,Leonede,Inbound,14.00,Sloop
1860-01-06,Speck,Inbound,5.00,Schooner
1860-01-06,Eliza Anderson,Inbound,279.00,Steamer
1860-01-07,Kossuth,Inbound,45.00,Schooner
1860-01-07,Harriet,Inbound,18.00,Schooner
1860-01-07,Persia,Inbound,682.00,Ship
1860-01-07,Eclipse,Inbound,11.00,Schooner
1860-01-07,Franklin Sherman,Inbound,18.00,Sloop
1860-01-07,Get Up and Get,Inbound,5.00,Sloop
1860-01-07,Elizabeth,Inbound,16.00,Schooner
1860-01-07,J. C. Caswell,Inbound,6.00,Sloop
1860-01-07,Eliza Anderson,Inbound,279.00,Steamer
1860-01-07,Amelia,Inbound,16.00,Schooner
1860-01-10,Wild Pigeon,Inbound,18.00,Schooner
1860-01-10,Kossuth,Inbound,18.00,Schooner
1860-01-12,D. M. Hall,Inbound,263.00,Bark
1860-01-12,Flying Mist,Inbound,103.00,Schooner
1860-01-13,Jenny Ford,Inbound,397.00,Bark
1860-01-16,J. C. Caswell,Inbound,6.00,Sloop
1860-01-16,Kossuth,Inbound,47.00,Schooner
1860-01-16,Harriet,Inbound,16.00,Schooner
1860-01-18,Lalla Rookh,Inbound,16.00,Schooner
1860-01-19,Colonist,Inbound,118.00,Schooner
1860-01-19,Lizzie Roberts,Inbound,5.00,Schooner
1860-01-22,Milwaukee,Inbound,738.00,Ship
1860-01-22,Eliza Anderson,Inbound,297.00,Steamer
1860-01-22,R. B. Potter,Inbound,66.00,Schooner
1860-01-22,Leonede,Inbound,14.00,Sloop
1860-01-20,Wild Pigeon,Inbound,16.00,Schooner
1860-01-24,Maryrene,Inbound,800.00,Ship
1860-01-24,Armistice,Inbound,308.00,Ship
1860-01-26,Eliza Anderson,Inbound,297.00,Steamer
1860-01-27,Elizabeth,Inbound,14.00,Schooner
1860-01-27,Midnight Cry,Inbound,5.00,Sloop
1860-01-29,Amelia,Inbound,16.00,Schooner
1860-01-30,Panama,Inbound,"1,200.00",Steamer
1860-01-30,W. D. Rice,Inbound,283.00,Brig
1860-01-30,Almatia,Inbound,473.00,Bark
1860-01-30,Caroline,Inbound,32.00,Schooner
1860-02-01,Franklin Sherman,Inbound,18.00,Sloop
1860-02-03,Petrel,Inbound,13.00,Schooner
1860-02-03,Eliza Anderson,Inbound,297.00,Steamer
1860-02-03,Leonede,Inbound,14.00,Sloop
1860-02-03,Harriet,Inbound,15.00,Schooner
1860-02-06,H. C. Page,Inbound,42.00,Schooner
1860-02-06,Lalla Rookh,Inbound,18.00,Schooner
1860-02-06,General Harney,Inbound,74.00,Schooner
1860-02-08,Midnight Cry,Inbound,5.00,Sloop
1860-02-08,Kossuth,Inbound,47.00,Schooner
1860-02-08,Columbia,Inbound,778.00,Steamer
1860-02-09,Speck,Inbound,5.00,Schooner
1860-02-10,Eliza Anderson,Inbound,280.00,Steamer
1860-02-10,Wilhelm,Inbound,515.00,Bark
1860-02-10,Eliza Anderson,Inbound,280.00,Steamer
1860-02-11,Eclipse,Inbound,10.00,Schooner
1860-02-13,Charles Davers,Inbound,263.00,Bark
1860-02-13,Lizzie Roberts,Inbound,5.00,Schooner
1860-02-13,Get Up and Get,Inbound,5.00,Sloop
1860-02-13,Colonist,Inbound,118.00,Schooner
1860-02-13,Flying Mist,Inbound,104.00,Schooner
1860-02-13,Torrent,Inbound,641.00,Ship
1860-02-14,Ork,Inbound,244.00,Bark
1860-02-14,Amelia,Inbound,16.00,Schooner
1860-02-15,Lalla Rookh,Inbound,18.00,Schooner
1860-02-15,H. C. Page,Inbound,42.00,Schooner
1860-02-17,Kossuth,Inbound,47.00,Schooner
1860-02-17,Eliza Anderson,Inbound,280.00,Steamer
1860-02-18,Willamantie,Inbound,171.00,Brig
1860-02-18,Pronto,Inbound,6.00,Schooner
1860-02-18,Harriet,Inbound,16.00,Schooner
1860-02-18,Consort,Inbound,250.00,Brig
1860-02-20,Meg Merrilles,Inbound,52.00,Schooner
1860-02-23,Anna Krell,Inbound,425.00,Bark
1860-02-23,Colonel Ebey,Inbound,20.00,Schooner
1860-02-23,Leonede,Inbound,16.00,Sloop
1860-02-24,Eliza Anderson,Inbound,280.00,Steamer
1860-02-25,Piscatagua,Inbound,14.00,Schooner
1860-02-27,Vickery,Inbound,262.00,Bark
1860-02-27,Lalla Rookh,Inbound,16.00,Schooner
1860-02-27,Kossuth,Inbound,47.00,Schooner
1860-02-27,Leonede,Inbound,16.00,Sloop
1860-02-27,Panama,Inbound,"1,097.00",Steamer
1860-02-27,W. S. Perkins,Inbound,309.00,Bark
1860-02-28,H. C. Page,Inbound,40.00,Schooner
1860-03-01,W. S. Perkins,Inbound,309.00,Bark
1860-03-02,Eliza Anderson,Inbound,280.00,Steamer
1860-03-03,H. C. Page,Inbound,40.00,Schooner
1860-03-03,Eliza Anderson,Inbound,280.00,Steamer
1860-03-04,Lalla Rookh,Inbound,16.00,Schooner
1860-03-05,Jennet,Inbound,247.00,Bark
1860-03-05,Wild Pigeon,Inbound,18.00,Schooner
1860-03-05,Caroline,Inbound,32.00,Schooner
1860-03-06,Harriet,Inbound,16.00,Schooner
1860-03-06,Elizabeth,Inbound,16.00,Schooner
1860-03-07,Kossuth,Inbound,40.00,Schooner
1860-03-09,Eliza Anderson,Inbound,280.00,Steamer
1860-03-10,Willamantie,Inbound,171.00,Brig
1860-03-10,Get Up and Get,Inbound,5.00,Sloop
1860-03-10,Otter,Inbound,144.00,Steamer
1860-03-09,Eliza Anderson,Inbound,280.00,Steamer
1860-03-10,Flying Mist,Inbound,104.00,Schooner
1860-03-10,Kossuth,Inbound,47.00,Schooner
1860-03-11,Gold Hunter,Inbound,280.00,Bark
1860-03-12,H. C. Page,Inbound,42.00,Schooner
1860-03-12,Gold Hunter,Inbound,280.00,Bark
1860-03-13,Panama,Inbound,"1,097.00",Steamer
1860-03-12,H. C. Page,Inbound,42.00,Schooner
